PMID,Title,Year,AI_Verdict,AI_Reason,AI_Confidence,Human_Verdict,Human_Reason,Agreement,Final_Verdict,Modality,Notes
35129757,A predictive model integrating deep and radiomics features based on gadobenate dimeglumine-enhanced MRI for postoperative early recurrence of hepatocellular carcinoma.,2022,MAYBE,"Reports separate radiomics (AUC 0.740/0.780), deep learning (0.887/0.813), and combined (0.911/0.840) arms on same HCC MRI cohort, but pretrained foundation model identity not specified.",MED,,,,,,
35571081,PET/CT Based EGFR Mutation Status Classification of NSCLC Using Deep Learning Features and Radiomics Features.,2022,MAYBE,"Explicit head-to-head radiomics model (RM, AUC 0.82/0.68) vs deep learning model (DLM, 0.90/0.79) vs hybrid (HM) on same NSCLC PET/CT cohort using PyRadiomics + 3D CNN; pretrained foundation model scale not specified.",MED,,,,,,
35583712,Combining multiparametric MRI features-based transfer learning and clinical parameters: application of machine learning for the differentiation of uterine sarcomas from atypical leiomyomas.,2022,MAYBE,"Explicit transfer learning (ResNet50, ImageNet transfer, low-tier FM) vs radiomics comparison on same uterine sarcoma vs ALM cohort with separate AUCs across T2/DWI/T2-DWI/complex models.",MED,,,,,,
33912622,Deep CNN models for predicting COVID-19 in CT and x-ray images.,2021,EXCLUDE,Six pretrained CNN architectures for COVID-19 image classification; no handcrafted radiomics comparator arm.,HIGH,,,,,,
37775450,Development and Validation of a Deep Learning and Radiomics Combined Model for Differentiating Complicated From Uncomplicated Acute Appendicitis.,2024,MAYBE,Combined model with clinical + CT visual + DL + radiomics features compared against conventional combined and DLR (fused) models; separate handcrafted radiomics-only arm AUC not clearly reported.,LOW,,,,,,
34049119,Pattern classification for breast lesion on FFDM by integration of radiomics and deep features.,2021,EXCLUDE,"Integrated framework only evaluates concatenated HCFs + DFs; handcrafted features use GLGLM (gray-level gap-length matrix, custom descriptor) not standard radiomics texture families, and no head-to-head paradigm comparison.",HIGH,,,,,,
32278690,Preoperative Prediction of Ki-67 Status in Breast Cancer with Multiparametric MRI Using Transfer Learning.,2021,EXCLUDE,All four feature sets are extracted via deep learning transfer learning across MRI sequences; no handcrafted radiomics comparator arm.,HIGH,,,,,,
40020550,Automated classification of oral cancer lesions: Vision transformers vs radiomics.,2025,INCLUDE,Explicit 'Vision transformers vs radiomics' head-to-head comparison using pretrained ViT/DETR/SAM (qualifying FMs) vs PyRadiomics on same oral cancer cohort with separate sensitivity/specificity/accuracy.,HIGH,EXCLUDE,,,,,
40771372,Development and validation of a prediction model for lymph node metastasis in thyroid cancer: integrating deep learning and radiomics features from intra- and peri-tumoral regions.,2025,MAYBE,"Reports separate radiomics (AUC 0.760/0.748), deep learning (0.794/0.756), and fusion (0.897/0.881) arms on same PTC thyroid US cohort, but pretrained foundation model identity not specified.",MED,,,,,,
38828062,PAHPhysRAD: A Digital Imaging and Communications in Medicine Research Tool for Segmentation and Radiomic Feature Extraction.,2024,EXCLUDE,Software/tool development paper (PAHPhysRAD MATLAB GUI for segmentation and radiomic feature extraction); not a clinical prediction study comparing FM vs handcrafted radiomics.,HIGH,,,,,,
36359456,Radiomics-Based Detection of COVID-19 from Chest X-ray Using Interpretable Soft Label-Driven TSK Fuzzy Classifier.,2022,EXCLUDE,TSK fuzzy classifier using only radiomics features for COVID-19 CXR detection; no deep learning/foundation model embedding comparator arm.,HIGH,,,,,,
39125553,Evaluation of Machine Learning Classification Models for False-Positive Reduction in Prostate Cancer Detection Using MRI Data.,2024,MAYBE,"Compares SVM/RDF/MLP with radiomics features vs CNN-based architectures (ConvNeXt, ResNet) with transfer learning on prostate MRI; separate paradigm AUCs and pretrained foundation model scale not specified.",LOW,,,,,,
37993801,Exploring the efficacy of multi-flavored feature extraction with radiomics and deep features for prostate cancer grading on mpMRI.,2023,MAYBE,"Compares five feature sets (radiomics, deep, combined) using PyRadiomics + autoencoder on PROSTATEx-2 prostate cancer cohort, but autoencoder pretrained only on 111-patient dataset (well below 100k threshold).",LOW,,,,,,
36702038,Histogram of Oriented Gradients meet deep learning: A novel multi-task deep network for 2D surgical image semantic segmentation.,2023,EXCLUDE,Multi-task deep network for surgical image semantic segmentation using HOG as auxiliary pseudo-labels; not a clinical prediction study comparing FM embeddings vs handcrafted radiomics.,HIGH,,,,,,
38438336,Prognostic Value of a Combined Nomogram Model Integrating 3-Dimensional Deep Learning and Radiomics for Head and Neck Cancer.,2024,MAYBE,"Reports separate TumorStage (0.604/0.571), radiomics (0.851/0.849), 3D deep (0.840/0.832), and combined (0.895/0.900) arms on same HNC PET/CT cohort, but 3D deep model pretraining scale and foundation model identity not specified.",MED,,,,,,
38693026,Predicting Osteoporosis and Osteopenia by Fusing Deep Transfer Learning Features and Classical Radiomics Features Based on Single-Source Dual-energy CT Imaging.,2024,MAYBE,"Reports separate radiomics, DTL, and features fusion AUCs on same dual-energy CT lumbar vertebrae cohort across two-level classification, but pretrained foundation model identity not specified.",MED,,,,,,
38223098,A fusion model integrating magnetic resonance imaging radiomics and deep learning features for predicting alpha-thalassemia X-linked intellectual disability mutation status in isocitrate dehydrogenase-mutant high-grade astrocytoma: a multicenter study.,2024,MAYBE,"Optimal imaging model fuses radiomics + DL features in same overall lesion region; abstract reports only fused imaging model vs clinical vs fusion-with-clinical AUCs, separate pure-paradigm arms unclear.",LOW,,,,,,
36409398,A multidomain fusion model of radiomics and deep learning to discriminate between PDAC and AIP based on (18)F-FDG PET/CT images.,2023,MAYBE,"Reports separate RAD_model, DL_model, and MF_model on same PDAC vs AIP PET/CT cohort with multidomain fusion achieving best AUC 0.964, but pretrained foundation model identity not specified.",MED,,,,,,
38858123,[Deep transfer learning radiomics model based on temporal bone CT for assisting in the diagnosis of inner ear malformations].,2024,MAYBE,"Reports separate radiomics (AUC 0.929), deep learning (0.947), and DLR fusion (0.964) arms on same temporal bone CT cohort, but pretrained foundation model identity not specified.",MED,,,,,,
37953910,Multi-Layer Perceptron Classifier with the Proposed Combined Feature Vector of 3D CNN Features and Lung Radiomics Features for COPD Stage Classification.,2023,MAYBE,Reports separate 3D CNN features and PyRadiomics lung radiomics and combined MLP classifier AUCs on same COPD HRCT cohort; 3D CNN uses transfer learning but pretraining scale and foundation model identity not specified.,MED,,,,,,
38812784
40605934,End-to-end prediction of clinical outcomes in head and neck squamous cell carcinoma with foundation model-based multiple instance learning.,2025,,,,INCLUDE,Peer-reviewed version of preprint PMID 39974018. FM-based MIL vs handcrafted radiomics head-to-head on 2485-patient HNSCC CT cohort with separate per-arm AUROCs (FM 0.75-0.84 vs radiomics 0.64-0.74). All four inclusion criteria pass.,,INCLUDE,CT,"Identified via cross-reference from preprint PMID 39974018 (PRISMA ""other methods"" branch). Published BMC Artif Intell 2025;1(1):3, DOI 10.1186/s44398-025-00003-8."
41663975,Noninvasive preoperative risk stratification of prostate cancer via a foundational model based deep learning with PSMA PET/CT.,2026,INCLUDE,HIGH-confidence Claude.ai pre-screen: BiomedCLIP and MedSAM (named FMs) head-to-head against conventional radiomics on PSMA PET/CT prostate cancer cohort.,HIGH,INCLUDE,Confirmed: BiomedCLIP-only (AUC 0.764) AND MedSAM (AUC 0.759) head-to-head vs conventional radiomics/RF (AUC 0.676) on same 494-patient PSMA PET/CT cohort with 5-fold CV. Both BiomedCLIP and MedSAM are named FMs in our protocol.,,INCLUDE,PET/CT,"Was in batch_19 of AI screening but row absent from CSV (data-integrity gap). Published BMC Cancer 2026, DOI 10.1186/s12885-026-15715-x."
